date,description,amount,category
2025-08-07,Fine Dining Restaurant,"Rs 12,260.29",Food & Dining
2025-08-10,Premium Gym,"Rs 3,222.26",Healthcare
2025-08-10,Parking Premium Mall,Rs 608.19,Transportation
2025-08-11,Business Class Flight,"Rs 133,515.22",Travel
2025-08-12,Hotstar Subscription,Rs 187.51,Subscriptions
2025-08-14,Reliance Fresh,Rs 314.66,Groceries
2025-08-16,Amazon Purchase,"Rs 7,871.25",Shopping
2025-08-17,Interior Design Service,"Rs 83,905.09",Housing
2025-08-18,Amazon Purchase,"Rs 4,047.69",Shopping
2025-08-19,Premium Whisky Shop,"Rs 14,263.20",Food & Dining
2025-08-19,Rapido Bike Taxi,Rs 141.70,Transportation
2025-08-21,Netflix Subscription,Rs 172.77,Subscriptions
2025-08-21,Golf Club Membership,"Rs 27,918.05",Healthcare
2025-08-22,Zomato Food Delivery,Rs 603.91,Food & Dining
2025-08-23,Salary CTC Credit,"Rs 338,377.85",Income
2025-08-24,Fine Dining Restaurant,"Rs 10,339.32",Food & Dining
2025-08-25,Spotify Premium,Rs 119.00,Subscriptions
2025-08-25,BMW Service Center,"Rs 15,489.61",Transportation
2025-08-25,Chartered Accountant,"Rs 18,969.51",Miscellaneous
2025-08-25,Zomato Food Delivery,Rs 273.87,Food & Dining
2025-08-27,Designer Brand Store,"Rs 73,337.23",Shopping
2025-08-28,Amazon Purchase,"Rs 2,328.35",Shopping
2025-08-29,BigBasket Groceries,"Rs 1,011.80",Groceries
2025-08-30,Myntra Fashion,"Rs 3,679.70",Shopping
2025-08-30,Business Profit Transfer,"Rs 226,685.86",Income
2025-08-30,Premium Gym,"Rs 4,167.48",Healthcare
2025-09-01,DMart Purchase,Rs 404.52,Groceries
2025-09-03,Spotify Premium,Rs 119.00,Subscriptions
2025-09-04,Golf Club Membership,"Rs 25,151.00",Healthcare
2025-09-04,Luxury Watch Service,"Rs 43,741.68",Shopping
2025-09-05,Ajio Clothing,Rs 446.02,Shopping
2025-09-05,Rapido Bike Taxi,Rs 161.81,Transportation
2025-09-06,More Supermarket,Rs 183.07,Groceries
2025-09-06,Designer Brand Store,"Rs 7,216.45",Shopping
2025-09-06,Interest Credit,"Rs 26,485.80",Income
2025-09-07,Golf Club Membership,"Rs 28,898.96",Healthcare
2025-09-09,Netflix Subscription,Rs 160.38,Subscriptions
2025-09-09,More Supermarket,Rs 511.71,Groceries
2025-09-10,Reliance Fresh,"Rs 1,606.72",Groceries
2025-09-11,Hotstar Subscription,Rs 232.49,Subscriptions
2025-09-11,Fine Dining Restaurant,"Rs 11,228.45",Food & Dining
2025-09-11,Premium Gym,"Rs 2,809.55",Healthcare
2025-09-13,Zomato Food Delivery,Rs 427.22,Food & Dining
2025-09-13,Investment Advisory Fee,"Rs 11,628.85",Miscellaneous
2025-09-14,Fine Dining Restaurant,"Rs 18,732.75",Food & Dining
2025-09-15,Spotify Premium,Rs 119.00,Subscriptions
2025-09-15,BigBasket Groceries,Rs 575.09,Groceries
2025-09-15,YouTube Premium,Rs 139.00,Subscriptions
2025-09-15,More Supermarket,"Rs 1,657.97",Groceries
2025-09-17,Stock Options,"Rs 251,680.37",Income
2025-09-17,More Supermarket,Rs 274.99,Groceries
2025-09-18,Amazon Purchase,"Rs 6,324.52",Shopping
2025-09-19,Fine Dining Restaurant,"Rs 13,942.87",Food & Dining
2025-09-19,More Supermarket,"Rs 1,063.18",Groceries
2025-09-20,Hotstar Subscription,Rs 762.76,Subscriptions
2025-09-20,Rental Income,"Rs 36,611.03",Income
2025-09-21,5-Star Hotel,"Rs 48,675.99",Travel
2025-09-22,Golf Club Membership,"Rs 29,816.19",Healthcare
2025-09-22,Uber Ride,Rs 581.39,Transportation
2025-09-23,BigBasket Groceries,Rs 429.13,Groceries
2025-09-23,Golf Club Membership,"Rs 16,899.32",Healthcare
2025-09-24,Spotify Premium,Rs 119.00,Subscriptions
2025-09-25,Fine Dining Restaurant,"Rs 5,837.25",Food & Dining
2025-09-25,Luxury Watch Service,"Rs 50,192.95",Shopping
2025-09-26,Spotify Premium,Rs 119.00,Subscriptions
2025-09-27,Premium Gym,"Rs 2,896.43",Healthcare
2025-09-29,Uber Ride,Rs 136.81,Transportation
2025-09-30,Annual Bonus,"Rs 308,403.85",Income
2025-09-30,BookMyShow Tickets,"Rs 1,454.03",Entertainment
2025-10-01,Spotify Premium,Rs 119.00,Subscriptions
2025-10-02,Uber Ride,Rs 200.93,Transportation
2025-10-02,BigBasket Groceries,Rs 930.56,Groceries
2025-10-02,Flipkart Order,"Rs 4,982.20",Shopping
2025-10-05,Business Profit Transfer,"Rs 144,751.45",Income
2025-10-10,Fine Dining Restaurant,"Rs 5,492.55",Food & Dining
2025-10-12,Interest Credit,"Rs 7,812.84",Income
2025-10-13,Amazon Prime,Rs 421.52,Subscriptions
2025-10-13,Annual Bonus,"Rs 139,340.91",Income
2025-10-13,Swiggy Order,Rs 156.66,Food & Dining
2025-10-14,Luxury Watch Service,"Rs 41,760.70",Shopping
2025-10-14,Ola Cab,Rs 496.75,Transportation
2025-10-15,Premium Whisky Shop,"Rs 3,382.75",Food & Dining
2025-10-15,Ajio Clothing,"Rs 2,087.20",Shopping
2025-10-15,Parking Premium Mall,Rs 635.21,Transportation
2025-10-15,Reliance Fresh,"Rs 1,061.47",Groceries
2025-10-16,Premium Gym,"Rs 3,401.77",Healthcare
2025-10-16,Golf Club Membership,"Rs 23,281.57",Healthcare
2025-10-17,Meesho Order,Rs 258.09,Shopping
2025-10-18,Uber Ride,Rs 434.40,Transportation
2025-10-19,5-Star Hotel,"Rs 41,436.21",Travel
2025-10-19,Flipkart Order,Rs 792.58,Shopping
2025-10-20,Swiggy Order,Rs 702.99,Food & Dining
2025-10-21,Dividend Credit,"Rs 67,577.98",Income
2025-10-21,Designer Brand Store,"Rs 67,799.80",Shopping
2025-10-22,Uber Ride,Rs 473.33,Transportation
2025-10-22,Meesho Order,Rs 646.80,Shopping
2025-10-22,Meesho Order,"Rs 1,791.48",Shopping
2025-10-24,Netflix Subscription,Rs 193.07,Subscriptions
2025-10-25,Spotify Premium,Rs 119.00,Subscriptions
2025-10-27,Chartered Accountant,"Rs 26,827.96",Miscellaneous
2025-10-28,YouTube Premium,Rs 139.00,Subscriptions
2025-10-28,Rapido Bike Taxi,Rs 147.43,Transportation
2025-10-29,BMW Service Center,"Rs 40,053.98",Transportation
2025-10-30,Interest Credit,"Rs 11,829.77",Income
2025-10-30,Meesho Order,Rs 379.86,Shopping
2025-10-30,YouTube Premium,Rs 139.00,Subscriptions
2025-10-30,Zomato Food Delivery,Rs 743.85,Food & Dining
2025-10-31,Amazon Purchase,"Rs 4,991.30",Shopping
2025-10-31,Interest Credit,"Rs 9,908.37",Income
2025-10-31,Interior Design Service,"Rs 53,485.05",Housing
2025-10-31,More Supermarket,"Rs 1,017.05",Groceries
2025-10-31,Hotstar Subscription,Rs 278.37,Subscriptions
2025-11-01,Hotstar Subscription,Rs 500.82,Subscriptions
2025-11-01,BookMyShow Tickets,"Rs 1,267.24",Entertainment
2025-11-01,Swiggy Order,Rs 388.40,Food & Dining
2025-11-01,Fine Dining Restaurant,"Rs 9,523.58",Food & Dining
2025-11-02,BookMyShow Tickets,Rs 738.62,Entertainment
2025-11-02,Chartered Accountant,"Rs 12,796.29",Miscellaneous
2025-11-02,Zomato Food Delivery,Rs 375.66,Food & Dining
2025-11-02,BookMyShow Tickets,"Rs 1,475.25",Entertainment
2025-11-03,Designer Brand Store,"Rs 34,657.57",Shopping
2025-11-03,Myntra Fashion,"Rs 2,731.68",Shopping
2025-11-04,Ola Cab,Rs 132.60,Transportation
2025-11-04,Amazon Purchase,"Rs 5,699.61",Shopping
2025-11-04,Interior Design Service,"Rs 180,970.13",Housing
2025-11-04,Flipkart Order,Rs 868.39,Shopping
2025-11-05,Fine Dining Restaurant,"Rs 11,197.83",Food & Dining
2025-11-06,Designer Brand Store,"Rs 70,263.44",Shopping
2025-11-08,DMart Purchase,"Rs 2,449.75",Groceries
2025-11-08,YouTube Premium,Rs 139.00,Subscriptions
2025-11-11,Security System,"Rs 21,661.49",Housing
2025-11-12,Flipkart Order,"Rs 4,429.53",Shopping
2025-11-12,Amazon Prime,Rs 762.92,Subscriptions
2025-11-14,Interest Credit,"Rs 22,981.05",Income
2025-11-14,Interior Design Service,"Rs 76,137.32",Housing
2025-11-15,YouTube Premium,Rs 139.00,Subscriptions
2025-11-16,Rental Income,"Rs 20,900.54",Income
2025-11-16,Uber Ride,Rs 244.55,Transportation
2025-11-16,Investment Advisory Fee,"Rs 13,967.09",Miscellaneous
2025-11-16,Amazon Purchase,"Rs 4,105.65",Shopping
2025-11-16,BMW Service Center,"Rs 43,933.17",Transportation
2025-11-16,Uber Ride,Rs 82.14,Transportation
2025-11-17,Dividend Credit,"Rs 26,013.14",Income
2025-11-21,Annual Bonus,"Rs 487,536.37",Income
2025-11-22,Security System,"Rs 16,807.33",Housing
2025-11-23,Luxury Watch Service,"Rs 12,230.33",Shopping
2025-11-23,BigBasket Groceries,"Rs 1,573.91",Groceries
2025-11-24,Uber Ride,Rs 312.93,Transportation
2025-11-25,DMart Purchase,"Rs 2,196.53",Groceries
2025-11-25,Amazon Purchase,"Rs 5,015.43",Shopping
2025-11-26,Ola Cab,Rs 334.68,Transportation
2025-11-26,Ajio Clothing,"Rs 1,692.54",Shopping
2025-11-27,BookMyShow Tickets,Rs 611.93,Entertainment
2025-11-28,Netflix Subscription,Rs 195.03,Subscriptions
2025-11-29,Ajio Clothing,Rs 930.70,Shopping
2025-12-01,DMart Purchase,"Rs 2,712.76",Groceries
2025-12-01,Interest Credit,"Rs 26,746.72",Income
2025-12-01,Rapido Bike Taxi,Rs 108.55,Transportation
2025-12-01,Ola Cab,Rs 105.66,Transportation
2025-12-02,BMW Service Center,"Rs 36,088.38",Transportation
2025-12-03,Amazon Prime,Rs 657.37,Subscriptions
2025-12-04,Designer Brand Store,"Rs 97,799.15",Shopping
2025-12-05,Rapido Bike Taxi,Rs 101.01,Transportation
2025-12-06,Dividend Credit,"Rs 71,743.94",Income
2025-12-07,Annual Bonus,"Rs 420,529.55",Income
2025-12-09,Meesho Order,"Rs 1,919.83",Shopping
2025-12-09,Ola Cab,Rs 249.78,Transportation
2025-12-10,Flipkart Order,"Rs 3,117.79",Shopping
2025-12-11,Netflix Subscription,Rs 395.47,Subscriptions
2025-12-11,Chartered Accountant,"Rs 11,613.41",Miscellaneous
2025-12-12,Security System,"Rs 10,060.62",Housing
2025-12-13,Amazon Prime,Rs 706.63,Subscriptions
2025-12-16,Myntra Fashion,"Rs 3,602.25",Shopping
2025-12-17,Swiggy Order,Rs 673.37,Food & Dining
2025-12-17,Security System,"Rs 28,175.52",Housing
2025-12-18,Interest Credit,"Rs 10,445.83",Income
2025-12-20,Rapido Bike Taxi,Rs 75.16,Transportation
2025-12-21,Premium Gym,"Rs 4,092.02",Healthcare
2025-12-21,YouTube Premium,Rs 139.00,Subscriptions
2025-12-22,5-Star Hotel,"Rs 67,913.42",Travel
2025-12-22,Premium Whisky Shop,"Rs 3,876.36",Food & Dining
2025-12-23,Zomato Food Delivery,Rs 169.71,Food & Dining
2025-12-24,Uber Ride,Rs 569.25,Transportation
2025-12-24,Swiggy Order,Rs 517.77,Food & Dining
2025-12-24,Luxury Watch Service,"Rs 40,177.71",Shopping
2025-12-24,Investment Advisory Fee,"Rs 18,057.05",Miscellaneous
2025-12-24,Zomato Food Delivery,Rs 258.06,Food & Dining
2025-12-25,Netflix Subscription,Rs 334.54,Subscriptions
2025-12-27,Premium Gym,"Rs 2,906.77",Healthcare
2025-12-28,Premium Gym,"Rs 3,031.99",Healthcare
2025-12-29,Premium Whisky Shop,"Rs 8,001.96",Food & Dining
2025-12-29,Rapido Bike Taxi,Rs 191.94,Transportation
2025-12-30,Spotify Premium,Rs 119.00,Subscriptions
2025-12-30,Amazon Purchase,"Rs 2,166.55",Shopping
